esp1id,RSSI1,esp2id,RSSI2,inOrNot,Passangercount
1111,-31,2222,-55,yes,1
1111,-30,2222,-55,yes,1
1111,-30,2222,-54,yes,1
1111,-30,2222,-53,yes,1
1111,-30,2222,-54,yes,1
1111,-30,2222,-55,yes,1
1111,-30,2222,-54,yes,1
1111,-31,2222,-55,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-59,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-61,yes,1
2222,-46,1111,-46,yes,1
1111,-52,2222,-63,no,1
1111,-53,2222,-63,no,1
1111,-53,2222,-65,no,1
1111,-52,2222,-62,no,1
1111,-52,2222,-62,no,1
1111,-52,2222,-66,no,1
1111,-52,2222,-64,no,1
1111,-54,2222,-64,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-55,no,1
2222,-54,1111,-54,no,1
2222,-54,1111,-54,no,1
2222,-54,1111,-54,no,1
2222,-54,1111,-54,no,1
2222,-54,1111,-54,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-54,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-54,no,1
1111,-53,2222,-54,no,1
1111,-53,2222,-54,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-54,no,1
1111,-53,2222,-56,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-54,no,1
1111,-53,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-54,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
1111,-53,2222,-55,no,1
2222,-54,1111,-54,no,1
2222,-54,1111,-54,no,1
1111,-53,2222,-54,no,1
1111,-53,2222,-55,no,1
